#req err ttot tavg oktot okavg bavg btot src
1 0 2 2 2 2 285 285 /yC5k
1 0 1 1 1 1 285 285 /xmlrpc.php
1 0 2 2 2 2 285 285 /umgap/taxa2freq
1 0 2 2 2 2 285 285 /umgap/casestudies/basic
1 0 2 2 2 2 285 285 /umgap/buildindex
1 0 2 2 2 2 285 285 /umgap
1 0 2 2 2 2 276 276 /static/admin/javascript/hetong.js
1 0 1 1 1 1 285 285 /start.shtml
1 0 2 2 2 2 285 285 /start.pl
1 0 1 1 1 1 285 285 /start.php
1 0 2 2 2 2 285 285 /start.jsp
1 0 1 1 1 1 285 285 /start.jsa
1 0 1 1 1 1 285 285 /start.jhtml
1 0 2 2 2 2 285 285 /start.html
1 0 1 1 1 1 285 285 /start.cgi
1 0 1 1 1 1 285 285 /start.cfm
1 0 1 1 1 1 285 285 /start.aspx
1 0 1 1 1 1 285 285 /start.asp
1 0 0 0 0 0 469 469 /sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/
1 0 2 2 2 2 276 276 /sql/websql/index.php
1 0 2 2 2 2 276 276 /sql/webdb/index.php
1 0 1 1 1 1 276 276 /sql/webadmin/index.php
1 0 2 2 2 2 276 276 /sql/sqlweb/index.php
1 0 2 2 2 2 276 276 /sql/sql-admin/index.php
1 0 1 1 1 1 276 276 /sql/phpmyadmin5/index.php
2 0 3 1 3 1 276 552 /sql/phpmyadmin4/index.php
1 0 1 1 1 1 276 276 /sql/phpmyadmin3/index.php
1 0 2 2 2 2 276 276 /sql/phpmy-admin/index.php
1 0 2 2 2 2 276 276 /sql/phpmanager/index.php
2 0 4 2 4 2 276 552 /sql/phpMyAdmin2/index.php
2 0 3 1 3 1 276 552 /sql/phpMyAdmin/index.php
2 0 3 1 3 1 276 552 /sql/myadmin/index.php
1 0 1 1 1 1 285 285 /solr/
1 0 2 2 2 2 276 276 /shopdb/index.php
2 0 0 0 0 0 444 888 /server-status
1 0 7 7 7 7 285 285 /sdk
2 0 5 2 5 2 285 570 /scripts/WPnBr.dll
6 0 5 0 5 0 381 2289 /robots.txt
1 0 1 1 1 1 285 285 /readme.txt
2 0 3 1 3 1 276 552 /program/index.php
58 0 2309 39 2309 39 6325 366885 /private_api/taxa
22 0 37807 1718 37807 1718 11350 249708 /private_api/proteins
62 0 1040 16 1040 16 6550 406131 /private_api/interpros
46 0 404 8 404 8 6865 315795 /private_api/goterms
15 0 108 7 108 7 4660 69900 /private_api/ecnumbers
2 0 3 1 3 1 276 552 /phppma/index.php
1 0 2 2 2 2 276 276 /phpmyadmin_/index.php
1 0 2 2 2 2 276 276 /phpmyadmin5/index.php
1 0 2 2 2 2 276 276 /phpmyadmin4/index.php
1 0 1 1 1 1 276 276 /phpmyadmin2022/index.php
1 0 2 2 2 2 276 276 /phpmyadmin2021/index.php
1 0 1 1 1 1 276 276 /phpmyadmin2020/index.php
1 0 2 2 2 2 276 276 /phpmyadmin2018/index.php
1 0 1 1 1 1 276 276 /phpmyadmin2015/index.php
2 0 4 2 4 2 276 552 /phpmyadmin2014/index.php
2 0 3 1 3 1 276 552 /phpmyadmin2013/index.php
1 0 2 2 2 2 276 276 /phpmyadmin2012/index.php
1 0 2 2 2 2 276 276 /phpmyadmin2011/index.php
1 0 2 2 2 2 276 276 /phpmyadmin2/index.php
1 0 1 1 1 1 276 276 /phpmyadmin1/index.php
1 0 1 1 1 1 276 276 /phpmyAdmin/index.php
1 0 1 1 1 1 276 276 /phpmy/index.php
2 0 3 1 3 1 276 552 /phpmy-admin/index.php
1 0 1 1 1 1 285 285 /phpMyadmin/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin_/index.php
2 0 3 1 3 1 276 552 /phpMyAdmin5/index.php
1 0 1 1 1 1 276 276 /phpMyAdmin5.2/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin4/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin3/index.php
1 0 1 1 1 1 276 276 /phpMyAdmin2/index.php
1 0 1 1 1 1 276 276 /phpMyAdmin1/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin-latest-english/index.php
1 0 1 1 1 1 276 276 /phpMyAdmin-5/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin-5.3.0/index.php
2 0 3 1 3 1 276 552 /phpMyAdmin-5.3.0-all-languages/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin-5.2.0/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin-5.1.3/index.php
2 0 3 1 3 1 276 552 /phpMyAdmin-5.1.2/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin-5.1.1/index.php
1 0 2 2 2 2 276 276 /phpMyAdmin-5.1.0/index.php
1 0 1 1 1 1 276 276 /phpMyAdmin-4/index.php
